file,line,description,confidence
serin/d1_1_pipeline_flow/d2_1_flow_act/d3_1_act_runners/d4_3_prompt_assembly.py,23,unused function '_time_label',60
serin/d1_1_pipeline_flow/d2_1_flow_act/d3_2_act_stages/d4_1_decision_temporal.py,217,unused attribute 'temporal_refs',60
serin/d1_1_pipeline_flow/d2_1_flow_act/d3_2_act_stages/d4_1_decision_temporal.py,224,unused attribute 'temporal_refs',60
serin/d1_1_pipeline_flow/d2_2_flow_ingest/d3_1_ingest_context/d4_1_context_builder.py,43,unused variable 'query_time_hint',100
serin/d1_1_pipeline_flow/d2_2_flow_ingest/d3_1_ingest_context/d4_1_context_builder.py,153,unused method '_search_with_time_range',60
serin/d1_1_pipeline_flow/d2_2_flow_ingest/d3_1_ingest_context/d4_1_context_builder.py,254,unused method 'resolve_referents',60
serin/d1_1_pipeline_flow/d2_2_flow_ingest/d3_1_ingest_context/d4_1_context_builder.py,288,unused method 'extract_time_reference_from_query',60
serin/d1_1_pipeline_flow/d2_2_flow_ingest/d3_1_ingest_context/d4_2_long_message.py,94,unused method 'should_react_to_length',60
serin/d1_1_pipeline_flow/d2_2_flow_ingest/d3_1_ingest_context/d4_2_long_message.py,123,unused method 'get_length_reaction',60
serin/d1_1_pipeline_flow/d2_2_flow_ingest/d3_1_ingest_context/d4_2_long_message.py,143,unused method 'should_add_length_note_to_context',60
serin/d1_1_pipeline_flow/d2_2_flow_ingest/d3_1_ingest_context/d4_2_long_message.py,150,unused method 'get_context_note',60
serin/d1_1_pipeline_flow/d2_2_flow_ingest/d3_1_ingest_context/d4_3_mention_translator.py,108,unused method 'restore_for_discord',60
serin/d1_1_pipeline_flow/d2_2_flow_ingest/d3_1_ingest_context/d4_3_mention_translator.py,177,unused method 'get_user_info',60
serin/d1_1_pipeline_flow/d2_2_flow_ingest/d3_1_ingest_context/d4_3_mention_translator.py,189,unused method 'get_user_id',60
serin/d1_1_pipeline_flow/d2_2_flow_ingest/d3_2_ingest_core/d4_2_core_vision/d5_1_visual_memory.py,103,unused method 'analyze_image',60
serin/d1_1_pipeline_flow/d2_2_flow_ingest/d3_2_ingest_core/d4_2_core_vision/d5_1_visual_memory.py,188,unused method 'recall_image_from_bytes',60
serin/d1_1_pipeline_flow/d2_2_flow_ingest/d3_2_ingest_core/d4_3_correction_handler.py,241,unused method 'get_correction_history',60
serin/d1_1_pipeline_flow/d2_2_flow_ingest/d3_2_ingest_core/d4_4_core_manager.py,150,unused attribute 'active_search',60
serin/d1_1_pipeline_flow/d2_2_flow_ingest/d3_2_ingest_core/d4_4_core_manager.py,154,unused attribute 'active_search',60
serin/d1_1_pipeline_flow/d2_2_flow_ingest/d3_2_ingest_core/d4_4_core_manager.py,157,unused attribute 'active_search',60
serin/d1_1_pipeline_flow/d2_3_flow_perceive/d3_1_active_search.py,19,unused method 'analyze_need_to_search',60
serin/d1_1_pipeline_flow/d2_3_flow_perceive/d3_2_bot_personality.py,23,unused attribute 'row_factory',60
serin/d1_1_pipeline_flow/d2_3_flow_perceive/d3_2_bot_personality.py,122,unused method 'express_preference',60
serin/d1_1_pipeline_flow/d2_3_flow_perceive/d3_2_bot_personality.py,225,unused method 'set_preference',60
serin/d1_1_pipeline_flow/d2_3_flow_perceive/d3_2_bot_personality.py,254,unused method 'express_opinion',60
serin/d1_1_pipeline_flow/d2_3_flow_perceive/d3_2_bot_personality.py,284,unused method 'set_opinion',60
serin/d1_1_pipeline_flow/d2_3_flow_perceive/d3_2_bot_personality.py,298,unused method 'can_disagree',60
serin/d1_1_pipeline_flow/d2_3_flow_perceive/d3_2_bot_personality.py,298,unused variable 'user_stance',100
serin/d1_1_pipeline_flow/d2_3_flow_perceive/d3_2_bot_personality.py,396,unused method 'detect_topic_in_message',60
serin/d1_1_pipeline_flow/d2_3_flow_perceive/d3_3_conversation_analyzer.py,19,unused method 'analyze_conversation_flow',60
serin/d1_1_pipeline_flow/d2_3_flow_perceive/d3_3_conversation_analyzer.py,203,unused method 'should_acknowledge_topic_change',60
serin/d1_1_pipeline_flow/d2_3_flow_perceive/d3_4_topic_fatigue.py,25,unused attribute 'FATIGUE_MESSAGE_COUNT',60
serin/d1_1_pipeline_flow/d2_3_flow_perceive/d3_4_topic_fatigue.py,124,unused method 'get_most_discussed_topics',60
serin/d1_1_pipeline_flow/d2_3_flow_perceive/d3_4_topic_fatigue.py,147,unused method 'apply_fatigue_to_personality',60
serin/d1_1_pipeline_flow/d2_3_flow_perceive/d3_4_topic_fatigue.py,188,unused method 'get_fatigue_context_note',60
serin/d1_1_pipeline_flow/d2_3_flow_perceive/d3_4_topic_fatigue.py,220,unused function 'get_topic_fatigue',60
serin/d1_1_pipeline_flow/d2_4_flow_remember/d3_1_remember_core/d4_4_core_store.py,165,unused attribute 'background_jobs',60
serin/d1_1_pipeline_flow/d2_4_flow_remember/d3_1_remember_core/d4_4_core_store.py,176,unused method '_find_qdrant_container',60
serin/d1_1_pipeline_flow/d2_4_flow_remember/d3_1_remember_core/d4_4_core_store.py,183,unused method '_ensure_qdrant_docker',60
serin/d1_1_pipeline_flow/d2_4_flow_remember/d3_1_remember_core/d4_4_core_store.py,203,unused attribute 'row_factory',60
serin/d1_1_pipeline_flow/d2_4_flow_remember/d3_2_remember_knowledge/d4_1_knowledge_belief/d5_1_belief_beliefs.py,42,unused method 'add_or_update_belief',60
serin/d1_1_pipeline_flow/d2_4_flow_remember/d3_2_remember_knowledge/d4_1_knowledge_belief/d5_1_belief_beliefs.py,147,unused method 'infer_beliefs_from_facts',60
serin/d1_1_pipeline_flow/d2_4_flow_remember/d3_2_remember_knowledge/d4_1_knowledge_belief/d5_2_belief_evidence.py,49,unused method 'add_fact',60
serin/d1_1_pipeline_flow/d2_4_flow_remember/d3_2_remember_knowledge/d4_1_knowledge_belief/d5_2_belief_evidence.py,87,unused method 'get_active_facts',60
serin/d1_1_pipeline_flow/d2_4_flow_remember/d3_2_remember_knowledge/d4_1_knowledge_belief/d5_2_belief_evidence.py,137,unused method 'supersede_fact',60
serin/d1_1_pipeline_flow/d2_4_flow_remember/d3_2_remember_knowledge/d4_1_knowledge_belief/d5_2_belief_evidence.py,147,unused method 'deactivate_facts_by_message',60
serin/d1_1_pipeline_flow/d2_4_flow_remember/d3_2_remember_knowledge/d4_2_memory_context.py,18,unused attribute 'memory_weights',60
