file,line,type,is_secret
.secrets.baseline,134,Hex High Entropy String,False
.secrets.baseline,134,Secret Keyword,False
voice/rust_receiver/vendor/songbird/.cargo_vcs_info.json,3,Hex High Entropy String,False
